"","자치구","발생합계","검거합계","살인","강도","강간","절도","폭력","살인검거율","강간검거율","강도검거율","절도검거율","폭력검거율","이혼","인구","범죄","검거","for_perc"
"12","은평구",3883,3207,0.357142857142857,0.157894736842105,0.250497017892644,0.301962354825791,0.369903632320237,100,92.6086956521739,100,67.3395818312905,90.8687943262411,917,491202,0.287480119804726,99.1702511635704,0.00897390482937773
"13","서대문구",3113,2299,0.214285714285714,0,0.1948310139165,0.239086904285142,0.154929577464788,100,89.6039603960396,100,58.4552845528455,83.1145584725537,485,325028,0.160626641990429,94.8491462597168,0.037621374158534
"14","마포구",5278,3499,0.142857142857142,0.368421052631578,0.78727634194831,0.585102122547056,0.524462564862861,100,85.8,100,39.971346704871,83.1275720164609,576,385783,0.481623844969389,89.9491412499651,0.0281712776353546
"15","양천구",3882,2660,0.142857142857142,0.105263157894736,0.0675944333996023,0.383259911894273,0.329873980726463,66.6666666666666,88.4057971014492,66.6666666666666,47.5471698113207,82.7746741154562,700,475018,0.205769725354443,77.4459918125388,0.00813442859007448
"16","강서구",5135,3927,0.714285714285714,0.157894736842105,0.421471172962226,0.502603123748498,0.614529280948851,100,80.0632911392405,100,58.9512711864406,87.2427983539094,1120,608255,0.482156805757479,93.7676325105077,0.010791526580135
"17","구로구",4895,3408,0.428571428571428,0.368421052631578,0.445328031809145,0.437324789747697,0.581541882876204,100,55.1829268292683,75,50.3768115942029,82.9147506190307,775,441559,0.45223743712721,79.9567244097417,0.069791352910936
"18","금천구",3265,2572,0.285714285714285,0.210526315789473,0.270377733598409,0.203444132959551,0.228317272053372,100,88.3333333333333,100,59.0709903593339,89.4343649946638,525,253491,0.239675948023018,96.0953015847052,0.0723378739284629
"19","영등포구",5969,4012,1,0.210526315789473,0.697813121272365,0.669203043652382,0.716085989621942,86.6666666666666,58.6813186813186,100,48.0902777777777,82.1003134796238,628,402024,0.658725694067232,82.6105693248597,0.0832636857501045
"20","동작구",3330,2242,0,0.31578947368421,0.580516898608349,0.237484981978374,0.163825055596738,100,43.6868686868686,100,48.36867862969,86.235294117647,598,408493,0.259523281973534,83.2160095608449,0.0300519225543645
"21","관악구",5525,4154,0.5,0.31578947368421,0.546719681908548,0.539046856227473,0.702001482579688,87.5,85.2242744063324,85.7142857142857,58.211217786761,84.5812182741116,817,520929,0.520711498879984,88.2623599550015,0.03384722294209
"22","서초구",4708,3237,0.571428571428571,0.631578947368421,0.727634194831013,0.472166599919903,0.424759080800592,100,60.2127659574468,53.8461538461538,46.0816777041942,87.4376039933444,561,445401,0.5655134788697,76.4598762941257,0.00965197653350576
"23","강남구",7720,5321,0.428571428571428,1,1,1,1,100,81.7133443163097,100,44.185303514377,86.2234580384226,805,561052,0.885714285714285,90.6581744676051,0.00871220492931137
"24","송파구",5576,3870,0.357142857142857,0,0.365805168986083,0.657188626351622,0.648257968865826,100,84.0277777777777,100,45.1187335092348,86.2321250415696,1041,671173,0.405678924269277,91.3745425108367,0.00994825477186955
"25","강동구",4261,3245,0.285714285714285,0.473684210526315,0.135188866799204,0.405286343612334,0.434025203854707,100,98.2558139534883,100,57.6899696048632,86.8258542610127,784,440359,0.346779782101369,97.4004253086195,0.0093923367070958
