기간,행정구역별,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
2017,광진구,계,372298 ,12351 ,12577 ,13387 ,18322 ,30249 ,35398 ,32573 ,30951 ,28211 ,32203 ,29380 ,30173 ,22570 ,15181 ,11602 ,8995 ,4794 ,2184 ,767 ,253 ,177 
2017,광진구,한국인,357703 ,11888 ,12324 ,13257 ,17618 ,27180 ,33369 ,31210 ,29988 ,27455 ,31017 ,27806 ,28708 ,22093 ,15085 ,11576 ,8980 ,4777 ,2180 ,765 ,250 ,177 
2017,광진구,등록외국인,14595 ,463 ,253 ,130 ,704 ,3069 ,2029 ,1363 ,963 ,756 ,1186 ,1574 ,1465 ,477 ,96 ,26 ,15 ,17 ,4 ,2 ,3 ,-
2017,동대문구,계,366011 ,11776 ,12329 ,12034 ,17530 ,31449 ,30960 ,26567 ,28547 ,26851 ,30122 ,27436 ,29941 ,24751 ,17998 ,14805 ,12158 ,6470 ,2729 ,995 ,317 ,246 
2017,동대문구,한국인,350647 ,11510 ,12184 ,11943 ,15971 ,25790 ,28376 ,25312 ,27815 ,26333 ,29457 ,26692 ,29261 ,24456 ,17901 ,14775 ,12136 ,6456 ,2723 ,993 ,317 ,246 
2017,동대문구,등록외국인,15364 ,266 ,145 ,91 ,1559 ,5659 ,2584 ,1255 ,732 ,518 ,665 ,744 ,680 ,295 ,97 ,30 ,22 ,14 ,6 ,2 ,-,-
2017,중랑구,계,412780 ,14242 ,14084 ,13697 ,19016 ,27907 ,31385 ,31193 ,33341 ,29867 ,35613 ,34901 ,38372 ,29900 ,20768 ,15774 ,12185 ,6332 ,2788 ,970 ,280 ,165 
2017,중랑구,한국인,408226 ,14058 ,13960 ,13642 ,18912 ,27572 ,30747 ,30558 ,32890 ,29533 ,35119 ,34377 ,37937 ,29732 ,20717 ,15763 ,12182 ,6329 ,2784 ,969 ,280 ,165 
2017,중랑구,등록외국인,4554 ,184 ,124 ,55 ,104 ,335 ,638 ,635 ,451 ,334 ,494 ,524 ,435 ,168 ,51 ,11 ,3 ,3 ,4 ,1 ,-,-
2017,성북구,계,455407 ,15633 ,18321 ,18836 ,24232 ,35952 ,34015 ,30891 ,35240 ,36585 ,41248 ,34139 ,35191 ,28873 ,21052 ,17386 ,14604 ,7847 ,3479 ,1197 ,373 ,313 
